date,precipitation_mm,rain_mm,precipitation_hours,max_wind_speed_kmh,location_name,latitude,longitude,state
2024-08-10,4.1,4.1,11.0,14.3,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-08-11,16.2,16.2,7.0,13.8,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-08-12,11.4,11.4,8.0,15.3,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-08-13,0.5,0.5,3.0,16.7,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-08-14,1.0,1.0,7.0,13.5,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-08-15,1.6,1.6,8.0,18.7,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-08-16,0.9,0.9,4.0,20.6,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-08-17,0.1,0.1,1.0,15.0,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-08-18,1.6,1.6,6.0,15.0,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-08-19,1.7,1.7,6.0,21.4,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-08-20,4.7,4.7,9.0,22.3,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-08-21,1.0,1.0,6.0,24.0,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-08-22,0.0,0.0,0.0,26.2,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-08-23,0.1,0.1,1.0,22.7,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-08-24,0.2,0.2,2.0,22.8,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-08-25,0.4,0.4,3.0,19.4,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-08-26,1.0,1.0,4.0,23.3,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-08-27,5.1,5.1,4.0,16.2,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-08-28,5.1,5.1,14.0,12.4,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-08-29,8.9,8.9,8.0,22.6,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-08-30,5.0,5.0,9.0,22.4,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-08-31,0.3,0.3,3.0,19.4,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-09-01,0.0,0.0,0.0,19.8,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-09-02,2.5,2.5,5.0,19.4,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-09-03,5.1,5.1,6.0,14.5,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-09-04,0.0,0.0,0.0,17.2,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-09-05,0.7,0.7,3.0,18.8,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-09-06,17.3,17.3,10.0,19.3,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-09-07,2.9,2.9,5.0,17.6,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-09-08,0.0,0.0,0.0,21.5,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-09-09,0.0,0.0,0.0,24.4,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-09-10,1.1,1.1,2.0,21.6,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-09-11,1.2,1.2,5.0,23.5,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-09-12,0.8,0.8,5.0,18.8,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-09-13,0.1,0.1,1.0,17.4,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-09-14,0.5,0.5,4.0,20.0,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-09-15,3.6,3.6,6.0,16.8,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-09-16,0.4,0.4,3.0,19.2,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-09-17,0.6,0.6,3.0,17.1,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-09-18,1.5,1.5,4.0,13.8,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-09-19,2.0,2.0,5.0,18.3,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-09-20,0.4,0.4,2.0,14.7,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-09-21,3.9,3.9,7.0,17.0,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-09-22,12.9,12.9,8.0,15.7,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-09-23,15.5,15.5,14.0,13.3,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-09-24,12.4,12.4,8.0,15.5,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-09-25,11.2,11.2,11.0,16.3,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-09-26,0.8,0.8,4.0,14.7,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-09-27,7.8,7.8,13.0,17.3,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-09-28,14.1,14.1,12.0,14.6,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-09-29,0.7,0.7,5.0,16.3,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-09-30,0.9,0.9,3.0,14.3,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-10-01,0.6,0.6,4.0,17.3,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-10-02,0.0,0.0,0.0,19.2,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-10-03,1.6,1.6,2.0,15.0,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-10-04,2.2,2.2,6.0,18.3,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-10-05,0.1,0.1,1.0,14.5,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-10-06,0.0,0.0,0.0,13.3,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-10-07,1.4,1.4,10.0,12.3,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-10-08,1.4,1.4,7.0,13.2,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-10-09,2.0,2.0,7.0,14.9,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-10-10,16.5,16.5,12.0,14.8,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-10-11,7.4,7.4,12.0,14.2,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-10-12,3.3,3.3,12.0,15.8,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-10-13,2.5,2.5,7.0,13.8,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-10-14,69.2,69.2,24.0,24.2,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-10-15,63.4,63.4,24.0,19.5,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-10-16,39.7,39.7,22.0,14.5,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-10-17,3.2,3.2,9.0,10.5,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-10-18,11.6,11.6,6.0,14.1,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-10-19,8.0,8.0,12.0,10.8,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-10-20,5.8,5.8,10.0,13.5,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-10-21,1.6,1.6,14.0,10.9,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-10-22,1.0,1.0,5.0,12.6,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-10-23,0.0,0.0,0.0,12.9,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-10-24,0.0,0.0,0.0,12.7,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-10-25,0.0,0.0,0.0,12.9,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-10-26,0.0,0.0,0.0,13.1,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-10-27,0.6,0.6,3.0,11.2,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-10-28,1.7,1.7,5.0,11.8,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-10-29,1.1,1.1,3.0,12.7,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-10-30,4.8,4.8,6.0,13.1,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-10-31,1.9,1.9,4.0,13.9,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-11-01,5.9,5.9,9.0,11.8,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-11-02,4.4,4.4,12.0,9.9,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-11-03,3.7,3.7,9.0,17.3,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-11-04,1.2,1.2,5.0,14.2,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-11-05,0.1,0.1,1.0,19.1,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-11-06,14.9,14.9,17.0,18.8,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-11-07,2.6,2.6,15.0,20.7,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-11-08,0.2,0.2,2.0,20.1,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-11-09,1.0,1.0,7.0,21.8,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-11-10,1.5,1.5,4.0,23.2,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-11-11,4.4,4.4,10.0,27.2,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-11-12,42.4,42.4,24.0,13.1,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-11-13,33.1,33.1,24.0,13.5,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-11-14,12.6,12.6,22.0,15.4,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-11-15,16.9,16.9,21.0,13.5,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-11-16,11.2,11.2,16.0,13.9,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-11-17,2.5,2.5,6.0,19.3,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-11-18,0.0,0.0,0.0,18.6,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-11-19,0.5,0.5,4.0,19.4,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-11-20,0.0,0.0,0.0,16.8,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-11-21,0.0,0.0,0.0,17.3,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-11-22,0.0,0.0,0.0,18.2,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-11-23,1.1,1.1,7.0,18.0,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-11-24,0.1,0.1,1.0,18.1,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-11-25,1.3,1.3,3.0,23.0,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-11-26,22.5,22.5,24.0,19.6,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-11-27,5.4,5.4,7.0,26.8,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-11-28,21.0,21.0,18.0,27.5,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-11-29,25.6,25.6,23.0,23.3,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-11-30,158.4,158.4,23.0,48.7,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-12-01,25.3,25.3,24.0,28.6,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-12-02,10.2,10.2,20.0,20.4,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-12-03,4.0,4.0,15.0,13.9,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-12-04,3.5,3.5,6.0,10.7,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-12-05,0.8,0.8,7.0,11.5,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-12-06,1.8,1.8,10.0,11.4,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-12-07,0.4,0.4,4.0,10.8,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-12-08,0.0,0.0,0.0,9.8,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-12-09,1.0,1.0,7.0,12.2,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-12-10,0.2,0.2,2.0,17.9,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-12-11,16.1,16.1,20.0,24.9,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-12-12,47.9,47.9,24.0,18.8,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-12-13,2.1,2.1,8.0,20.1,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-12-14,0.0,0.0,0.0,19.5,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-12-15,0.0,0.0,0.0,22.4,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-12-16,0.0,0.0,0.0,20.4,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-12-17,8.2,8.2,4.0,22.9,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-12-18,24.1,24.1,22.0,20.5,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-12-19,7.0,7.0,15.0,17.4,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-12-20,15.9,15.9,7.0,19.1,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-12-21,1.5,1.5,6.0,16.0,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-12-22,0.2,0.2,2.0,16.2,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-12-23,0.0,0.0,0.0,20.0,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-12-24,7.6,7.6,7.0,18.4,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-12-25,2.8,2.8,11.0,19.2,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-12-26,10.1,10.1,24.0,19.7,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-12-27,4.1,4.1,11.0,22.2,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-12-28,0.2,0.2,2.0,15.0,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-12-29,1.0,1.0,7.0,19.6,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-12-30,3.5,3.5,16.0,19.9,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-12-31,0.1,0.1,1.0,18.7,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2025-01-01,0.0,0.0,0.0,16.7,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2025-01-02,0.0,0.0,0.0,15.9,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2025-01-03,0.1,0.1,1.0,18.4,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2025-01-04,0.1,0.1,1.0,12.9,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2025-01-05,0.0,0.0,0.0,12.2,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2025-01-06,0.5,0.5,2.0,11.1,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2025-01-07,2.3,2.3,8.0,14.7,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2025-01-08,0.0,0.0,0.0,17.9,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2025-01-09,0.1,0.1,1.0,19.3,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2025-01-10,1.0,1.0,8.0,20.2,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2025-01-11,0.0,0.0,0.0,19.5,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2025-01-12,1.4,1.4,7.0,16.7,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2025-01-13,4.6,4.6,17.0,19.2,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2025-01-14,0.3,0.3,2.0,19.8,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2025-01-15,0.0,0.0,0.0,20.8,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2025-01-16,0.1,0.1,1.0,19.3,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2025-01-17,0.4,0.4,3.0,20.1,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2025-01-18,2.1,2.1,4.0,20.5,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2025-01-19,12.1,12.1,13.0,20.0,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2025-01-20,0.0,0.0,0.0,18.0,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2025-01-21,0.0,0.0,0.0,12.1,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2025-01-22,0.0,0.0,0.0,14.8,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2025-01-23,0.0,0.0,0.0,11.8,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2025-01-24,0.0,0.0,0.0,14.1,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2025-01-25,0.1,0.1,1.0,14.5,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2025-01-26,0.0,0.0,0.0,12.0,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2025-01-27,0.0,0.0,0.0,10.8,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2025-01-28,0.0,0.0,0.0,11.4,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2025-01-29,0.0,0.0,0.0,15.8,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2025-01-30,0.0,0.0,0.0,15.2,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2025-01-31,0.4,0.4,4.0,14.1,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2025-02-01,1.1,1.1,8.0,11.4,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2025-02-02,0.4,0.4,3.0,13.5,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2025-02-03,0.0,0.0,0.0,12.4,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2025-02-04,0.0,0.0,0.0,10.9,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2025-02-05,0.0,0.0,0.0,12.2,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2025-02-06,0.0,0.0,0.0,10.6,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2025-02-07,0.0,0.0,0.0,11.6,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2025-02-08,0.0,0.0,0.0,12.2,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2025-02-09,0.2,0.2,2.0,12.3,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2025-02-10,0.1,0.1,1.0,13.0,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2025-02-11,0.0,0.0,0.0,13.3,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2025-02-12,0.0,0.0,0.0,12.2,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2025-02-13,0.0,0.0,0.0,12.2,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2025-02-14,0.0,0.0,0.0,12.4,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2025-02-15,0.0,0.0,0.0,14.4,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2025-02-16,0.0,0.0,0.0,13.4,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2025-02-17,0.0,0.0,0.0,13.0,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2025-02-18,0.0,0.0,0.0,14.1,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2025-02-19,0.0,0.0,0.0,13.5,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2025-02-20,0.0,0.0,0.0,12.6,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2025-02-21,0.3,0.3,3.0,11.9,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2025-02-22,0.0,0.0,0.0,14.5,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2025-02-23,0.0,0.0,0.0,12.7,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2025-02-24,0.0,0.0,0.0,15.7,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2025-02-25,0.0,0.0,0.0,17.1,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2025-02-26,0.0,0.0,0.0,19.1,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2025-02-27,0.0,0.0,0.0,16.7,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2025-02-28,0.1,0.1,1.0,17.8,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2025-03-01,0.4,0.4,4.0,16.3,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2025-03-02,0.0,0.0,0.0,13.0,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2025-03-03,0.0,0.0,0.0,14.9,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2025-03-04,0.0,0.0,0.0,14.0,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2025-03-05,0.0,0.0,0.0,13.5,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2025-03-06,0.0,0.0,0.0,16.6,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2025-03-07,0.0,0.0,0.0,14.1,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2025-03-08,0.0,0.0,0.0,16.1,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2025-03-09,0.0,0.0,0.0,14.9,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2025-03-10,0.1,0.1,1.0,17.4,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2025-03-11,14.8,14.8,15.0,18.6,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2025-03-12,1.8,1.8,6.0,12.1,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2025-03-13,0.0,0.0,0.0,14.8,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2025-03-14,0.0,0.0,0.0,16.2,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2025-03-15,0.0,0.0,0.0,16.7,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2025-03-16,0.4,0.4,4.0,14.4,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2025-03-17,0.1,0.1,1.0,18.2,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2025-03-18,0.2,0.2,2.0,17.2,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2025-03-19,0.4,0.4,3.0,17.0,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2025-03-20,0.0,0.0,0.0,16.3,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2025-03-21,0.0,0.0,0.0,15.6,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2025-03-22,0.4,0.4,3.0,16.8,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2025-03-23,0.2,0.2,2.0,14.4,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2025-03-24,0.6,0.6,4.0,15.4,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2025-03-25,0.0,0.0,0.0,14.8,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2025-03-26,0.0,0.0,0.0,16.2,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2025-03-27,0.0,0.0,0.0,18.2,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2025-03-28,0.0,0.0,0.0,19.2,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2025-03-29,0.0,0.0,0.0,15.8,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2025-03-30,0.0,0.0,0.0,17.2,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2025-03-31,0.0,0.0,0.0,15.2,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2025-04-01,0.2,0.2,1.0,15.5,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2025-04-02,0.8,0.8,5.0,15.5,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2025-04-03,0.0,0.0,0.0,14.9,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2025-04-04,7.3,7.3,6.0,13.2,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2025-04-05,2.9,2.9,7.0,13.5,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
