rainfall_mm,river_level_m,soil_moisture,wind_speed_kmph,temperature_c,population_density,elevation_m,infrastructure_vulnerability,road_accessibility,distance_to_water_body,primary_disaster,secondary_disaster,severity
165.8,5.76,0.87,24.8,20.5,2206.0,76.9,0.81,0.25,3.79,Heavy Rain,Flood,High
131.4,5.85,0.88,32.3,20.4,504.0,1006.6,0.89,0.67,14.06,Landslide Trigger,Landslide,High
167.6,1.2,0.72,33.3,16.3,2743.0,1712.8,0.69,0.11,14.6,Landslide Trigger,Landslide,High
6.3,0.73,0.23,37.8,43.3,2660.0,87.6,0.41,0.8,10.16,Extreme Heat,Fire,High
250.0,6.39,0.52,84.3,23.2,3705.0,145.2,0.64,0.11,5.02,Cyclone,Infrastructure Failure,High
180.4,4.14,0.49,47.2,18.5,6867.0,341.2,0.55,0.26,1.43,Heavy Rain,Flood,High
40.2,3.06,0.63,11.6,32.7,3329.0,2058.8,0.62,0.41,18.41,Earthquake,Landslide,Medium
233.1,5.75,0.71,100.7,30.0,5826.0,330.7,0.54,0.81,1.84,Cyclone,Infrastructure Failure,High
192.3,5.91,0.93,21.3,28.1,1280.0,392.4,0.57,0.34,4.16,Heavy Rain,Flood,High
40.6,3.68,0.3,152.9,32.6,1458.0,161.1,0.65,0.77,8.77,Cyclone,Infrastructure Failure,High
362.4,6.1,0.85,22.0,29.9,3548.0,30.4,0.67,0.16,4.87,Heavy Rain,Flood,Critical
265.2,2.09,0.79,25.0,18.3,659.0,1492.9,0.2,0.43,6.84,Landslide Trigger,Landslide,High
299.9,10.58,0.45,27.7,19.2,3052.0,23.1,0.2,0.26,5.33,Heavy Rain,Flood,High
1.9,3.42,0.64,9.1,19.6,1841.0,1917.1,0.1,0.09,18.6,Earthquake,Landslide,Medium
185.0,4.64,0.32,115.4,22.1,231.0,316.0,0.58,0.41,3.75,Cyclone,Infrastructure Failure,High
292.9,5.85,0.47,127.4,25.0,2654.0,362.2,0.1,0.43,4.56,Cyclone,Flood,Medium
254.7,7.95,0.43,81.5,31.0,2013.0,372.5,0.35,0.83,1.23,Cyclone,Flood,Medium
77.6,4.4,0.84,12.3,23.9,1706.0,359.3,0.53,0.2,2.74,Heavy Rain,Disease Outbreak,High
177.3,5.83,0.85,21.9,16.1,1780.0,936.3,0.66,0.1,6.06,Landslide Trigger,Landslide,High
0.5,1.28,0.26,11.8,43.0,7333.0,248.6,0.32,0.26,22.38,Extreme Heat,Fire,High
138.7,2.44,0.81,52.2,23.4,644.0,2048.7,0.71,0.37,6.56,Landslide Trigger,Landslide,High
201.1,2.62,0.54,59.7,16.2,5153.0,2376.8,0.64,0.57,14.68,Landslide Trigger,Landslide,High
69.3,1.51,0.38,23.6,23.2,2758.0,969.1,0.82,0.23,7.28,Earthquake,Fire,Medium
264.3,5.13,0.88,40.0,24.9,231.0,432.4,0.85,0.94,12.46,Landslide Trigger,Landslide,High
147.0,4.39,0.84,21.4,28.4,12486.0,91.2,0.66,0.81,1.1,Heavy Rain,Disease Outbreak,High
157.0,8.59,0.74,37.1,26.2,1133.0,464.5,0.74,0.25,3.49,Heavy Rain,Flood,High
278.5,4.6,0.76,43.6,20.6,3080.0,57.4,0.81,0.09,1.13,Heavy Rain,Flood,Critical
228.2,4.23,0.59,148.2,25.7,372.0,188.8,0.28,0.08,0.26,Cyclone,Infrastructure Failure,High
200.5,4.91,0.63,76.6,25.3,266.0,267.2,0.85,0.57,11.59,Cyclone,Infrastructure Failure,High
236.1,7.0,0.44,14.0,25.2,1770.0,279.4,0.18,0.69,7.35,Heavy Rain,Flood,Medium
4.4,1.55,0.26,36.5,45.1,9436.0,615.2,0.32,0.05,17.63,Extreme Heat,Fire,Critical
103.4,3.24,0.7,120.2,28.5,1351.0,11.4,0.65,0.55,8.77,Cyclone,Infrastructure Failure,High
163.1,3.71,0.45,47.4,29.0,1745.0,523.3,0.71,0.75,0.92,Heavy Rain,Flood,Medium
61.9,1.5,0.73,93.9,24.8,6195.0,10.1,0.91,0.56,6.53,Cyclone,Infrastructure Failure,High
219.8,3.27,0.72,27.1,25.3,419.0,317.1,0.33,0.14,2.0,Heavy Rain,Flood,Medium
2.7,2.47,0.18,23.6,46.2,5456.0,896.1,0.34,0.33,15.4,Extreme Heat,Fire,High
182.9,8.55,0.8,24.2,19.6,2865.0,509.6,0.67,0.68,1.11,Heavy Rain,Flood,High
220.8,6.24,0.73,47.9,22.7,1171.0,773.3,0.45,0.61,1.36,Landslide Trigger,Landslide,Medium
12.7,0.89,0.09,38.7,35.5,2594.0,441.1,0.13,0.1,15.47,Extreme Heat,Fire,High
84.8,7.77,0.72,20.5,25.7,2306.0,657.9,0.67,0.28,0.43,Heavy Rain,Flood,High
151.6,8.02,0.92,46.4,25.0,3378.0,586.9,0.47,0.22,2.98,Heavy Rain,Flood,High
10.5,1.61,0.16,36.9,34.3,4755.0,297.9,0.68,0.35,3.31,Extreme Heat,Fire,High
10.1,1.29,0.28,20.9,39.8,511.0,842.6,0.58,0.92,7.77,Extreme Heat,Fire,High
5.7,0.62,0.15,22.7,36.3,2023.0,599.1,0.37,0.41,24.95,Extreme Heat,Fire,High
1.7,2.27,0.17,18.6,43.2,303.0,409.0,0.78,0.9,16.91,Extreme Heat,Fire,High
264.1,11.09,0.49,31.5,25.2,1420.0,469.6,0.16,0.4,3.27,Heavy Rain,Flood,High
73.9,7.37,0.43,65.6,28.1,2853.0,240.1,0.36,0.77,10.48,Cyclone,Infrastructure Failure,Medium
228.3,3.21,0.73,50.9,22.8,626.0,244.1,0.44,0.59,1.23,Heavy Rain,Flood,Medium
59.3,6.64,0.85,41.4,25.6,3282.0,560.4,0.8,0.76,7.68,Landslide Trigger,Landslide,Medium
22.2,3.79,0.21,31.3,34.4,232.0,430.9,0.41,0.51,14.72,Earthquake,Fire,Medium
186.8,8.99,0.7,105.7,30.9,13050.0,380.5,0.13,0.78,0.36,Cyclone,Infrastructure Failure,High
142.5,3.69,0.66,39.0,22.6,7546.0,53.1,0.39,0.24,4.84,Heavy Rain,Disease Outbreak,High
149.5,1.89,0.79,138.5,28.5,2689.0,144.5,0.79,0.62,9.62,Cyclone,Infrastructure Failure,High
241.8,6.29,0.55,151.0,28.0,3244.0,244.0,0.56,0.22,2.72,Cyclone,Infrastructure Failure,High
0.9,1.71,0.28,23.3,37.2,1966.0,606.5,0.2,0.22,3.84,Extreme Heat,Fire,High
16.2,1.85,0.18,16.9,25.2,5947.0,1089.1,0.18,0.51,8.27,Earthquake,Fire,Medium
54.9,1.43,0.76,40.5,26.3,260.0,1515.7,0.14,0.09,14.44,Landslide Trigger,Landslide,High
80.0,5.83,0.69,64.3,32.4,357.0,337.7,0.2,0.16,3.63,Cyclone,Infrastructure Failure,Medium
90.7,7.17,0.54,26.1,29.9,592.0,550.6,0.39,0.55,7.6,Heavy Rain,Flood,Medium
1.2,0.51,0.25,27.5,39.8,178.0,450.9,0.35,0.21,11.56,Extreme Heat,Fire,High
1.5,2.41,0.23,30.5,38.4,426.0,366.0,0.21,0.77,7.45,Extreme Heat,Fire,Medium
54.2,2.41,0.39,32.7,16.5,4981.0,653.3,0.94,0.27,7.65,Earthquake,Infrastructure Failure,High
13.1,2.16,0.12,19.0,39.7,5237.0,880.8,0.35,0.71,6.16,Extreme Heat,Fire,High
143.4,6.13,0.8,136.4,31.5,583.0,28.5,0.42,0.54,8.34,Cyclone,Infrastructure Failure,Medium
138.7,5.66,0.9,72.8,29.4,653.0,161.4,0.9,0.84,1.68,Cyclone,Infrastructure Failure,High
274.9,9.43,0.42,93.8,29.4,1517.0,196.1,0.58,0.57,5.08,Cyclone,Infrastructure Failure,High
103.3,6.75,0.72,35.7,20.5,1502.0,596.4,0.75,0.56,0.3,Heavy Rain,Flood,High
136.2,8.75,0.73,45.8,26.8,557.0,492.0,0.29,0.43,3.96,Heavy Rain,Flood,High
247.8,7.12,0.57,10.3,24.0,178.0,235.6,0.58,0.9,5.9,Heavy Rain,Flood,High
14.0,2.15,0.2,23.8,26.0,7360.0,925.8,0.23,0.07,10.91,Earthquake,Fire,Medium
262.6,6.12,0.83,116.7,30.9,7915.0,174.7,0.56,0.21,9.02,Cyclone,Infrastructure Failure,High
102.6,3.09,0.45,89.1,28.1,3158.0,237.3,0.12,0.13,5.18,Cyclone,Infrastructure Failure,Medium
81.2,4.11,0.6,27.7,19.6,3454.0,2023.7,0.65,0.77,1.19,Landslide Trigger,Landslide,High
357.8,2.68,0.49,49.9,23.5,3737.0,456.0,0.89,0.95,5.34,Heavy Rain,Flood,High
224.4,3.8,0.83,64.7,24.5,898.0,359.5,0.17,0.82,3.15,Cyclone,Flood,Medium
7.5,1.85,0.12,31.5,44.6,853.0,295.1,0.93,0.63,11.45,Extreme Heat,Fire,Critical
358.4,5.23,0.85,44.5,26.3,548.0,772.9,0.65,0.71,3.21,Heavy Rain,Flood,High
239.8,4.36,0.69,24.0,23.1,946.0,519.7,0.41,0.29,5.99,Heavy Rain,Flood,High
115.5,9.55,0.93,26.7,27.0,746.0,718.6,0.91,0.39,6.78,Heavy Rain,Flood,High
161.9,3.06,0.68,14.9,21.0,6767.0,260.4,0.32,0.82,6.49,Heavy Rain,Flood,Medium
245.7,5.59,0.57,46.1,27.2,2322.0,1765.1,0.63,0.51,5.64,Landslide Trigger,Landslide,High
1.8,1.12,0.29,35.1,35.9,3574.0,858.1,0.73,0.78,9.56,Extreme Heat,Fire,High
75.7,1.6,0.58,9.0,29.1,1030.0,1645.3,0.84,0.2,13.88,Earthquake,Landslide,Medium
52.9,5.3,0.72,53.2,19.4,2647.0,736.6,0.22,0.7,12.71,Landslide Trigger,Landslide,Medium
7.7,1.71,0.19,34.0,45.6,5941.0,644.3,0.65,0.68,4.42,Extreme Heat,Fire,High
169.8,10.41,0.82,15.1,22.9,10516.0,710.2,0.66,0.62,0.47,Heavy Rain,Flood,Critical
104.9,2.49,0.93,28.4,24.9,134.0,1186.2,0.54,0.93,2.95,Landslide Trigger,Landslide,Medium
129.7,4.36,0.51,109.5,26.8,2368.0,352.6,0.17,0.93,6.12,Cyclone,Infrastructure Failure,Medium
3.7,0.65,0.25,25.8,39.8,797.0,391.5,0.79,0.63,20.06,Extreme Heat,Fire,High
140.6,3.75,0.62,48.8,21.2,17563.0,1041.7,0.44,0.88,9.34,Landslide Trigger,Landslide,High
123.2,1.94,0.42,99.8,24.4,6043.0,5.1,0.72,0.2,10.99,Cyclone,Infrastructure Failure,High
89.7,3.11,0.82,51.8,23.2,1473.0,104.1,0.39,0.61,4.15,Heavy Rain,Flood,Medium
287.2,3.5,0.42,54.7,20.8,227.0,52.5,0.4,0.77,1.6,Heavy Rain,Flood,Medium
122.1,5.05,0.71,108.3,31.5,4917.0,347.1,0.46,0.94,0.22,Cyclone,Infrastructure Failure,Medium
7.2,2.47,0.28,13.7,41.5,428.0,893.1,0.69,0.36,21.72,Extreme Heat,Fire,High
41.7,3.42,0.61,51.8,18.7,1277.0,2055.0,0.27,0.26,1.01,Landslide Trigger,Landslide,High
72.5,4.18,0.72,23.1,23.0,7642.0,307.7,0.49,0.35,7.02,Heavy Rain,Flood,High
58.8,9.13,0.34,88.3,25.3,4992.0,131.6,0.16,0.62,2.06,Cyclone,Infrastructure Failure,Medium
63.4,2.06,0.85,78.1,31.0,10056.0,220.1,0.27,0.82,1.03,Cyclone,Infrastructure Failure,Medium
105.7,10.19,0.41,33.0,27.2,5581.0,748.5,0.85,0.23,7.28,Heavy Rain,Flood,High
143.8,5.1,0.62,27.7,24.5,687.0,136.3,0.33,0.5,5.56,Heavy Rain,Flood,Medium
245.0,7.42,0.69,74.8,28.0,1808.0,39.5,0.09,0.3,4.59,Cyclone,Flood,Medium
269.4,6.72,0.66,16.9,16.5,587.0,1184.4,0.74,0.15,14.27,Landslide Trigger,Landslide,High
294.9,4.55,0.77,92.5,28.9,9001.0,80.8,0.88,0.85,1.84,Cyclone,Infrastructure Failure,High
198.9,7.97,0.34,91.8,25.5,614.0,256.1,0.59,0.78,4.34,Cyclone,Infrastructure Failure,Medium
5.7,0.76,0.11,13.3,38.2,3911.0,585.7,0.38,0.79,15.82,Extreme Heat,Fire,High
85.1,5.25,0.78,77.1,23.2,3785.0,354.1,0.07,0.67,4.18,Cyclone,Flood,Medium
115.9,1.33,0.78,25.8,19.4,1232.0,561.2,0.13,0.87,3.06,Landslide Trigger,Landslide,Medium
41.5,3.9,0.56,28.8,27.0,837.0,723.4,0.72,0.54,14.52,Landslide Trigger,Landslide,Medium
341.9,7.49,0.71,18.8,20.0,1589.0,734.0,0.73,0.35,2.69,Heavy Rain,Flood,Critical
287.1,7.4,0.66,143.7,22.5,924.0,106.5,0.72,0.88,5.63,Cyclone,Infrastructure Failure,High
144.4,4.24,0.88,102.3,27.4,2793.0,143.9,0.74,0.78,10.92,Cyclone,Infrastructure Failure,High
162.8,6.4,0.89,26.3,27.5,4431.0,753.4,0.77,0.81,5.02,Heavy Rain,Flood,High
180.4,2.96,0.63,40.3,23.4,3323.0,601.7,0.22,0.72,2.92,Heavy Rain,Flood,Medium
43.7,1.21,0.3,27.5,24.7,4118.0,514.5,0.91,0.43,19.38,Earthquake,Fire,High
158.3,8.68,0.62,127.2,24.8,838.0,181.5,0.05,0.09,1.57,Cyclone,Flood,Medium
372.5,4.68,0.78,47.8,24.6,3034.0,131.0,0.71,0.74,5.85,Heavy Rain,Flood,High
371.9,7.66,0.6,39.2,18.8,1371.0,718.9,0.78,0.59,1.04,Heavy Rain,Flood,High
134.5,3.84,0.89,30.3,26.2,6119.0,576.3,0.21,0.44,11.88,Landslide Trigger,Landslide,High
104.6,8.86,0.71,38.6,20.4,1344.0,177.3,0.55,0.82,0.43,Heavy Rain,Flood,High
270.1,6.42,0.95,42.4,29.2,274.0,426.8,0.7,0.16,2.15,Heavy Rain,Flood,Critical
111.7,5.76,0.64,117.1,23.8,11302.0,155.0,0.7,0.88,7.44,Cyclone,Infrastructure Failure,High
222.9,4.55,0.59,45.0,22.7,2507.0,1604.9,0.35,0.52,7.86,Landslide Trigger,Landslide,High
115.2,9.75,0.51,13.8,23.2,1137.0,530.1,0.55,0.36,3.56,Heavy Rain,Flood,High
74.6,3.73,0.4,14.8,29.7,1412.0,128.9,0.88,0.06,10.02,Earthquake,Fire,High
8.3,1.98,0.2,8.0,47.6,964.0,475.8,0.49,0.44,16.13,Extreme Heat,Fire,High
74.7,3.46,0.89,20.8,20.3,305.0,408.9,0.57,0.16,6.17,Heavy Rain,Disease Outbreak,High
0.5,0.61,0.3,9.1,34.6,1074.0,405.4,0.43,0.09,21.41,Extreme Heat,Fire,High
151.3,6.12,0.64,91.6,25.5,435.0,47.1,0.74,0.92,4.46,Cyclone,Infrastructure Failure,High
77.6,3.53,0.45,26.0,20.7,2205.0,1406.2,0.73,0.3,9.66,Earthquake,Landslide,Medium
25.4,3.74,0.18,19.6,33.3,1019.0,1362.3,0.36,0.82,11.38,Earthquake,Fire,Medium
181.0,5.62,0.36,61.5,32.6,366.0,153.9,0.66,0.89,7.28,Cyclone,Infrastructure Failure,Medium
240.0,3.64,0.74,44.5,22.9,7444.0,705.1,0.61,0.17,5.22,Heavy Rain,Flood,High
4.6,0.9,0.32,31.6,43.5,4620.0,284.9,0.48,0.25,6.23,Extreme Heat,Fire,High
196.5,1.82,0.5,104.5,23.6,547.0,393.9,0.23,0.74,2.59,Cyclone,Infrastructure Failure,Medium
190.4,7.59,0.41,11.5,23.3,390.0,655.2,0.53,0.87,7.09,Heavy Rain,Flood,Medium
178.0,9.97,0.48,52.1,27.0,1545.0,753.7,0.89,0.3,5.45,Heavy Rain,Flood,High
26.6,2.95,0.53,32.9,19.1,311.0,1765.7,0.4,0.3,15.03,Earthquake,Landslide,Medium
24.4,3.94,0.47,26.5,34.5,1924.0,861.0,0.83,0.21,16.23,Earthquake,Fire,Medium
362.7,4.47,0.59,44.0,22.7,4440.0,490.5,0.26,0.1,3.61,Heavy Rain,Flood,High
111.0,5.29,0.4,93.7,26.4,7003.0,27.7,0.19,0.59,7.04,Cyclone,Infrastructure Failure,Medium
269.4,6.27,0.81,28.5,24.1,3565.0,15.8,0.08,0.38,5.56,Heavy Rain,Flood,High
78.3,1.97,0.4,32.3,29.3,6493.0,1301.5,0.46,0.48,16.16,Earthquake,Fire,Medium
177.4,11.2,0.8,13.7,28.4,2653.0,389.6,0.43,0.84,0.64,Heavy Rain,Flood,High
16.3,3.39,0.43,6.6,34.4,2128.0,1152.1,0.82,0.32,6.53,Earthquake,Fire,Medium
82.0,2.53,0.48,134.1,27.2,1395.0,94.9,0.9,0.36,2.08,Cyclone,Infrastructure Failure,Critical
277.1,3.91,0.58,55.1,20.4,265.0,1819.3,0.14,0.7,14.77,Landslide Trigger,Landslide,Medium
143.0,4.16,0.42,11.0,27.3,3080.0,116.2,0.44,0.07,3.79,Heavy Rain,Disease Outbreak,High
241.5,1.58,0.76,144.9,26.8,1678.0,216.5,0.85,0.85,5.78,Cyclone,Infrastructure Failure,High
160.8,8.04,0.94,53.3,24.1,10311.0,367.7,0.18,0.57,2.3,Heavy Rain,Flood,High
107.8,2.67,0.69,59.9,14.8,637.0,1557.1,0.45,0.51,2.16,Landslide Trigger,Landslide,High
102.1,2.9,0.54,28.6,27.5,2807.0,2289.4,0.87,0.06,5.69,Landslide Trigger,Landslide,Critical
317.5,11.04,0.45,17.3,29.5,1053.0,434.7,0.45,0.67,0.21,Heavy Rain,Flood,High
58.7,3.98,0.29,21.1,25.7,12235.0,922.1,0.82,0.5,4.21,Earthquake,Fire,High
9.0,0.95,0.21,29.3,41.2,1583.0,891.5,0.74,0.2,16.06,Extreme Heat,Fire,Critical
30.8,1.71,0.37,28.5,24.7,1440.0,1757.1,0.78,0.26,11.95,Earthquake,Fire,Medium
90.6,5.54,0.46,60.9,29.1,11013.0,206.9,0.56,0.83,5.4,Cyclone,Infrastructure Failure,High
96.0,7.62,0.9,36.2,26.6,2059.0,303.9,0.41,0.83,0.83,Heavy Rain,Flood,High
130.5,11.2,0.96,21.1,22.2,1975.0,717.5,0.34,0.52,7.74,Heavy Rain,Flood,High
205.1,2.64,0.84,17.3,14.7,1314.0,1172.6,0.49,0.34,5.95,Landslide Trigger,Landslide,High
86.1,2.86,0.95,33.5,20.2,985.0,1553.1,0.66,0.69,14.77,Landslide Trigger,Landslide,High
48.6,0.81,0.49,6.9,26.9,5997.0,1640.1,0.08,0.81,5.01,Earthquake,Fire,Low
154.3,3.24,0.38,150.6,22.8,3198.0,83.6,0.54,0.16,4.24,Cyclone,Infrastructure Failure,High
108.2,3.41,0.43,99.1,29.7,1687.0,90.9,0.93,0.91,4.46,Cyclone,Infrastructure Failure,High
12.0,0.98,0.07,16.1,37.7,6353.0,465.2,0.81,0.37,19.89,Extreme Heat,Fire,Critical
204.9,2.88,0.53,46.6,14.1,3883.0,1218.4,0.74,0.32,5.61,Landslide Trigger,Landslide,High
234.8,2.76,0.71,47.7,23.7,3574.0,2374.7,0.6,0.87,4.15,Landslide Trigger,Landslide,High
2.3,2.0,0.22,14.6,40.6,7134.0,313.7,0.56,0.62,15.32,Extreme Heat,Fire,High
41.5,0.68,0.27,19.8,21.2,1347.0,440.8,0.28,0.47,10.58,Earthquake,Fire,Low
94.0,10.85,0.9,41.8,19.3,4772.0,622.9,0.15,0.63,6.48,Heavy Rain,Flood,High
325.3,7.7,0.77,30.6,24.3,372.0,37.2,0.44,0.31,5.15,Heavy Rain,Flood,High
170.9,1.8,0.82,50.8,16.3,6809.0,608.6,0.53,0.47,3.04,Landslide Trigger,Landslide,High
8.5,2.77,0.58,29.8,27.5,262.0,211.8,0.28,0.17,3.14,Earthquake,Fire,Medium
135.8,5.97,0.95,37.5,28.0,4361.0,571.2,0.3,0.63,0.99,Heavy Rain,Flood,High
162.5,11.48,0.55,22.6,29.2,4235.0,29.5,0.8,0.93,5.6,Heavy Rain,Flood,High
78.0,0.73,0.56,24.4,27.9,13043.0,326.0,0.87,0.45,13.35,Earthquake,Fire,High
63.2,5.76,0.88,41.6,23.5,2126.0,53.5,0.89,0.63,3.47,Heavy Rain,Flood,High
152.8,7.23,0.44,53.8,22.3,3771.0,387.5,0.65,0.69,2.91,Heavy Rain,Flood,High
102.4,4.03,0.38,122.3,22.4,7188.0,241.1,0.45,0.46,10.45,Cyclone,Infrastructure Failure,High
6.2,2.85,0.56,12.3,23.4,992.0,1853.5,0.55,0.22,17.67,Earthquake,Landslide,Medium
8.2,3.69,0.56,27.8,16.0,1441.0,1864.0,0.54,0.13,9.32,Earthquake,Landslide,Medium
299.7,7.74,0.51,18.5,20.2,5971.0,55.0,0.07,0.09,4.74,Heavy Rain,Flood,High
8.6,2.14,0.15,17.2,42.3,4352.0,261.3,0.61,0.57,2.61,Extreme Heat,Fire,High
294.8,8.58,0.52,25.9,19.5,6360.0,112.6,0.92,0.62,5.44,Heavy Rain,Flood,Critical
79.7,2.35,0.79,115.0,28.8,5855.0,313.7,0.1,0.72,8.47,Cyclone,Infrastructure Failure,Medium
12.8,1.07,0.24,16.0,47.4,683.0,49.4,0.69,0.21,15.34,Extreme Heat,Fire,Critical
18.8,2.23,0.61,11.4,17.9,7870.0,1681.8,0.18,0.63,10.51,Earthquake,Landslide,Medium
3.5,0.81,0.26,25.8,44.6,1764.0,292.3,0.94,0.31,12.3,Extreme Heat,Fire,Critical
23.6,1.74,0.43,12.6,33.3,450.0,621.2,0.64,0.87,18.02,Earthquake,Fire,Medium
13.5,3.89,0.38,33.4,28.5,1258.0,698.4,0.13,0.18,4.58,Earthquake,Fire,Medium
84.5,6.31,0.86,16.4,19.6,429.0,518.3,0.2,0.88,1.66,Heavy Rain,Flood,Medium
251.8,4.33,0.69,111.0,29.4,1090.0,274.7,0.09,0.46,7.58,Cyclone,Flood,Medium
344.0,7.63,0.88,54.6,20.0,12611.0,556.5,0.94,0.67,5.43,Heavy Rain,Flood,Critical
130.4,9.69,0.46,45.1,28.9,1900.0,312.4,0.44,0.33,5.08,Heavy Rain,Flood,High
222.9,6.62,0.93,22.9,26.2,323.0,1874.9,0.29,0.87,4.54,Landslide Trigger,Landslide,High
201.0,7.27,0.45,128.3,22.3,605.0,153.3,0.79,0.26,7.56,Cyclone,Infrastructure Failure,High
196.5,3.43,0.77,19.8,14.2,5582.0,2219.1,0.95,0.24,4.77,Landslide Trigger,Landslide,Critical
21.2,2.82,0.63,32.5,25.1,12233.0,1759.5,0.92,0.2,3.58,Earthquake,Disease Outbreak,High
4.5,0.7,0.13,33.6,39.3,12848.0,97.8,0.62,0.42,9.87,Extreme Heat,Fire,Critical
75.0,9.39,0.79,86.7,22.8,2882.0,27.4,0.89,0.5,1.53,Cyclone,Infrastructure Failure,High
67.4,2.06,0.5,27.0,18.5,335.0,826.6,0.38,0.53,13.11,Earthquake,Fire,Low
299.0,5.3,0.79,101.0,30.8,1794.0,240.2,0.59,0.62,10.65,Cyclone,Infrastructure Failure,High
187.7,3.8,0.45,10.8,28.5,4362.0,196.8,0.34,0.51,1.77,Heavy Rain,Flood,High
2.4,2.42,0.31,35.2,39.7,128.0,690.9,0.07,0.58,5.31,Extreme Heat,Fire,Medium
200.3,7.16,0.4,29.0,26.6,949.0,359.7,0.78,0.58,5.88,Heavy Rain,Flood,High
119.6,4.63,0.76,47.3,23.0,3641.0,214.1,0.45,0.49,6.95,Heavy Rain,Flood,High
16.3,2.69,0.33,34.9,24.6,8055.0,1094.7,0.77,0.46,11.75,Earthquake,Fire,High
287.2,7.78,0.69,18.7,23.6,1407.0,204.2,0.91,0.53,7.33,Heavy Rain,Flood,High
191.6,4.26,0.56,31.9,15.4,4916.0,1645.9,0.25,0.2,7.26,Landslide Trigger,Landslide,High
137.5,6.56,0.83,33.9,21.2,3613.0,568.4,0.31,0.58,14.78,Landslide Trigger,Landslide,Medium
66.3,6.8,0.58,44.2,17.4,3681.0,1835.1,0.6,0.85,11.88,Landslide Trigger,Landslide,Medium
51.2,4.15,0.45,153.9,26.3,863.0,294.4,0.27,0.3,8.25,Cyclone,Infrastructure Failure,Medium
