osm_id,name,facility_type,latitude,longitude,state,source
308866071,Narayana Hrudayalaya Dental Clinic,hospital,12.9155759,77.6349897,Tamil Nadu,OpenStreetMap
309609271,"Police Station, Museum",police,8.5093212,76.9567814,Tamil Nadu,OpenStreetMap
309864918,Parvathy Nursing Home,hospital,11.4156645,76.7088458,Tamil Nadu,OpenStreetMap
310015097,Military Hospital,hospital,13.0194622,80.1972947,Tamil Nadu,OpenStreetMap
310393723,Dr Ganesh Medical and Diabetic Clinic,hospital,12.9129006,77.6419101,Tamil Nadu,OpenStreetMap
310504820,Goverment dental hospital & collage,hospital,13.0829605,80.281264,Tamil Nadu,OpenStreetMap
310732936,Kilpauk Medical College,hospital,13.0785984,80.2433369,Tamil Nadu,OpenStreetMap
310909754,Hariharan Hospital,hospital,12.9847145,80.1905906,Tamil Nadu,OpenStreetMap
310910945,BM Hospital,hospital,12.9887616,80.1904116,Tamil Nadu,OpenStreetMap
311429396,K.F. Hospital,hospital,12.973463,80.1841397,Tamil Nadu,OpenStreetMap
312000326,Cancer Institute,hospital,13.0061338,80.239884,Tamil Nadu,OpenStreetMap
312025133,Adyar J2,police,12.997814,80.2557176,Tamil Nadu,OpenStreetMap
313027868,Sri Ramachandra Medical Centre and Hospital,hospital,13.0380979,80.1428047,Tamil Nadu,OpenStreetMap
313951548,Facility_313951548,police,12.9814685,80.192063,Tamil Nadu,OpenStreetMap
320275820,Govt Maternity Hospital,hospital,13.0720996,80.2589871,Tamil Nadu,OpenStreetMap
320275824,Institute of Child Health,hospital,13.0735496,80.257025,Tamil Nadu,OpenStreetMap
320275839,Institute of Obstetrics and Gynaecology dd,hospital,13.0735431,80.2591463,Tamil Nadu,OpenStreetMap
320968223,Central Station PS,police,13.0818276,80.2755071,Tamil Nadu,OpenStreetMap
320968578,Chennai Central RPF,police,13.0830613,80.2732996,Tamil Nadu,OpenStreetMap
321420767,Ellen Multispeciality Hospital,hospital,11.0213634,76.9708723,Tamil Nadu,OpenStreetMap
321420772,GP Hospital,hospital,11.0201233,76.9710726,Tamil Nadu,OpenStreetMap
330069980,Saravana Dental Care Hospital,hospital,11.0028292,76.9513725,Tamil Nadu,OpenStreetMap
330070075,Senthil Hospital,hospital,11.0089752,76.9578034,Tamil Nadu,OpenStreetMap
330070077,Dr. S. G. Rajarathinam Hospital,hospital,11.0095256,76.9619316,Tamil Nadu,OpenStreetMap
334644593,RTO Check Post,police,8.3307076,77.1742787,Tamil Nadu,OpenStreetMap
334644595,Tax Check Post,police,8.3242251,77.1817641,Tamil Nadu,OpenStreetMap
335527138,Facility_335527138,substation,13.0002782,80.2556245,Tamil Nadu,OpenStreetMap
335527174,Facility_335527174,substation,13.0064206,80.2485804,Tamil Nadu,OpenStreetMap
337604253,"K. G. Hospital, Coimbatore",hospital,11.0004227,76.9715023,Tamil Nadu,OpenStreetMap
339282419,B1 Saint Thomas Mount PS,police,12.9991212,80.200262,Tamil Nadu,OpenStreetMap
343436821,Sengaliappan Nursing Home,hospital,11.0165542,76.955239,Tamil Nadu,OpenStreetMap
343711683,Thrikkakara Municipal Co-operative Hospital,hospital,10.01816,76.34672,Tamil Nadu,OpenStreetMap
343714970,vengola govt homoeo dispensary,hospital,10.0971798,76.4511132,Tamil Nadu,OpenStreetMap
343719028,"Sunrise Hospital, Ernakulam",hospital,10.0252315,76.3388796,Tamil Nadu,OpenStreetMap
344444288,Facility_344444288,substation,10.4853492,76.2223319,Tamil Nadu,OpenStreetMap
353073504,Kalpakkam Police Station,police,12.5037687,80.1533696,Tamil Nadu,OpenStreetMap
353073527,DAE Hospital,hospital,12.5037319,80.159635,Tamil Nadu,OpenStreetMap
354836500,Dharapuram Police Station,police,10.7312269,77.5240154,Tamil Nadu,OpenStreetMap
354890203,Sadras Police Station,police,12.5251654,80.1626667,Tamil Nadu,OpenStreetMap
364629422,JBS Hospital,hospital,12.9207173,77.5745968,Tamil Nadu,OpenStreetMap
364629734,Jayanagar heart Centre,hospital,12.9231684,77.584433,Tamil Nadu,OpenStreetMap
364650995,MIOT International,hospital,13.0211808,80.1858412,Tamil Nadu,OpenStreetMap
366075241,Koyambedu Police Station,police,13.0696407,80.2004587,Tamil Nadu,OpenStreetMap
367795605,St. Thomas Hospital,hospital,13.0122733,80.196428,Tamil Nadu,OpenStreetMap
368307280,Govt Primary Health Centre,hospital,12.5274531,80.1631378,Tamil Nadu,OpenStreetMap
369183249,E1 Police Station,police,11.412076,76.6884781,Tamil Nadu,OpenStreetMap
370481197,"Office, Police Commissioner",police,13.0100865,80.1990931,Tamil Nadu,OpenStreetMap
370967673,Facility_370967673,hospital,13.009781,80.1949734,Tamil Nadu,OpenStreetMap
370969674,T15 SRMC PS,police,13.0341993,80.1602489,Tamil Nadu,OpenStreetMap
375668400,Venkataeswara Hospitals,hospital,13.0293624,80.2440921,Tamil Nadu,OpenStreetMap
389493285,Government Hospital,hospital,12.7289287,77.8253132,Tamil Nadu,OpenStreetMap
389948945,KK Nagar PS,police,13.0415108,80.2054415,Tamil Nadu,OpenStreetMap
390852677,N4 PS,police,13.1345408,80.2974596,Tamil Nadu,OpenStreetMap
411318042,Virugambakkam Police Station,police,13.0491123,80.1992562,Tamil Nadu,OpenStreetMap
416412274,Facility_416412274,police,13.03694,80.2674177,Tamil Nadu,OpenStreetMap
428843493,Cubbon Park Police Station,police,12.9762399,77.5983458,Tamil Nadu,OpenStreetMap
428857750,Maleshwaram Police station,police,12.9966811,77.5696708,Tamil Nadu,OpenStreetMap
442508332,Sarswathi Hospital,hospital,12.9653846,80.2067733,Tamil Nadu,OpenStreetMap
443612463,Sri Vijayalakshmi Pragathi Hospital,hospital,13.0371728,77.6409543,Tamil Nadu,OpenStreetMap
454142398,Sathya Hospital,hospital,13.0185503,77.6364728,Tamil Nadu,OpenStreetMap
459436210,Electronics City Police Station,police,12.839963,77.6631389,Tamil Nadu,OpenStreetMap
459464857,Ramakrishna Hospital,hospital,12.8500655,77.6624706,Tamil Nadu,OpenStreetMap
459635161,Apollo Clinic & Pharmacy,hospital,13.05244,80.2041657,Tamil Nadu,OpenStreetMap
459648701,Vijaya Heart Centre,hospital,13.0483819,80.2070144,Tamil Nadu,OpenStreetMap
465192842,ESI Hospital,hospital,12.3383212,76.6323943,Tamil Nadu,OpenStreetMap
465196073,Adithya Adhikari Hospital,hospital,12.3315512,76.6271812,Tamil Nadu,OpenStreetMap
469711565,"Police Station, Karamana",police,8.4808658,76.9686113,Tamil Nadu,OpenStreetMap
518947889,PAMC Hospital (Pandian Advanced Medical Centre),hospital,9.9267975,78.1420027,Tamil Nadu,OpenStreetMap
518991792,Aravind Eye Hospitals,hospital,9.9212003,78.1398805,Tamil Nadu,OpenStreetMap
519011232,Government Vetinary Hospital,hospital,9.9317265,78.1401058,Tamil Nadu,OpenStreetMap
519549595,Chord Road Hospital Pvt Ltd,hospital,12.9981215,77.5404836,Tamil Nadu,OpenStreetMap
521144416,Jalahalli Police Station,police,13.0486481,77.5495673,Tamil Nadu,OpenStreetMap
523575229,Government Hospital,hospital,10.2512627,78.8135488,Tamil Nadu,OpenStreetMap
530353033,Pristline Hospital,hospital,12.9978931,77.5436127,Tamil Nadu,OpenStreetMap
540658116,B.M.Orthopaedic Hospital,hospital,13.1181104,80.1499411,Tamil Nadu,OpenStreetMap
541332070,Laxmipuram Police Station,police,12.2976467,76.6428237,Tamil Nadu,OpenStreetMap
542383450,Ashoka Clinic,hospital,12.2922036,76.6423443,Tamil Nadu,OpenStreetMap
549935042,MES Hospital,hospital,11.0611294,76.3442394,Tamil Nadu,OpenStreetMap
569923645,pump shed,shelter,8.521532,76.9666524,Tamil Nadu,OpenStreetMap
569923646,pump shed,shelter,8.5228472,76.9662755,Tamil Nadu,OpenStreetMap
569925067,Facility_569925067,shelter,8.520389,76.9691136,Tamil Nadu,OpenStreetMap
582384953,"Bengaluru Hospital, Susruta Medical Aid AndResearch Home Limited",hospital,12.9376734,77.5802836,Tamil Nadu,OpenStreetMap
591555028,skandan nursing home,hospital,12.9447938,80.1405596,Tamil Nadu,OpenStreetMap
595706154,"Vasan Eye Care Hospital, Vadapalani",hospital,13.0495316,80.211027,Tamil Nadu,OpenStreetMap
597590621,JJ Hospital,hospital,13.0571293,80.1942138,Tamil Nadu,OpenStreetMap
600348717,Rest Cottages,shelter,9.9671507,76.2402918,Tamil Nadu,OpenStreetMap
600882700,Regional Institute of Ophthalmology,hospital,8.4998439,76.9410501,Tamil Nadu,OpenStreetMap
600882701,Dr Govindans Hospital,hospital,8.4986554,76.9431315,Tamil Nadu,OpenStreetMap
622250802,Thottabhagam Hospital,hospital,9.3852283,76.6153372,Tamil Nadu,OpenStreetMap
623063826,Kerala State Road Transport Coperation Stand,shelter,10.1067134,76.3561164,Tamil Nadu,OpenStreetMap
625856709,Manipal Northside Hospital,hospital,13.0011275,77.5639285,Tamil Nadu,OpenStreetMap
644657108,Ramanathan Hospital,hospital,10.7729537,79.1331354,Tamil Nadu,OpenStreetMap
649246679,Silent Valley Hospital,hospital,10.0794143,77.1674719,Tamil Nadu,OpenStreetMap
653124705,Fort Kochi Police Station,police,9.9673515,76.2440364,Tamil Nadu,OpenStreetMap
658439838,"S.B. Hospital Urology, Nephrology & Fertility Research Centre",hospital,10.7755458,79.1254,Tamil Nadu,OpenStreetMap
659001946,Government Hospital,hospital,12.5246186,76.8998873,Tamil Nadu,OpenStreetMap
663317752,Police Headquarters,police,12.9695368,77.5877623,Tamil Nadu,OpenStreetMap
663604723,Government Primary Health Centre,hospital,12.9503234,77.6162619,Tamil Nadu,OpenStreetMap
665697740,AVM Medical Centre,hospital,10.7876968,79.1384135,Tamil Nadu,OpenStreetMap
665727326,Divakars speciality Hospital,hospital,12.9100629,77.5924585,Tamil Nadu,OpenStreetMap
670883889,KRA Hospital,hospital,10.7869754,79.1397985,Tamil Nadu,OpenStreetMap
671185206,Hema Poly Clinic,hospital,12.960765,77.7137961,Tamil Nadu,OpenStreetMap
671791830,Adichunchanagiri Hospital,hospital,12.9661122,76.7228216,Tamil Nadu,OpenStreetMap
675546475,Alphonsa Eye Hospital,hospital,9.7088081,76.6765231,Tamil Nadu,OpenStreetMap
687175330,Police Booth,police,13.0737484,80.1923421,Tamil Nadu,OpenStreetMap
687177364,Police Booth,police,13.0656907,80.1935705,Tamil Nadu,OpenStreetMap
690029213,Neomed Hospital,hospital,9.9291508,78.148482,Tamil Nadu,OpenStreetMap
690414609,General Hospital,hospital,9.711455,76.6809641,Tamil Nadu,OpenStreetMap
691164726,Tilaknagar Police Station,police,12.928367,77.5905691,Tamil Nadu,OpenStreetMap
691930445,BMTC Hospital,hospital,12.9234317,77.5923374,Tamil Nadu,OpenStreetMap
705780792,"Police Station, Marangattupilly",police,9.7470249,76.6096248,Tamil Nadu,OpenStreetMap
725272765,KMCH Hospital,hospital,11.2788797,77.5848796,Tamil Nadu,OpenStreetMap
725513774,Police Station,police,11.277733,77.5865812,Tamil Nadu,OpenStreetMap
747616884,Velachery,police,12.9850126,80.2208713,Tamil Nadu,OpenStreetMap
748739164,"Mar Kavukatt Memorial Hospital, Anthinad",hospital,9.7473158,76.703386,Tamil Nadu,OpenStreetMap
768555312,Gubbi Police Station,police,13.3094556,76.948541,Tamil Nadu,OpenStreetMap
769216417,Ramakrishna Nursing Home and Hospital,hospital,12.9364329,77.583477,Tamil Nadu,OpenStreetMap
801903654,"Police Station, Ramapuram",police,9.7993343,76.6588351,Tamil Nadu,OpenStreetMap
803091648,Bala Hospital,hospital,10.9969296,76.995705,Tamil Nadu,OpenStreetMap
803271976,Facility_803271976,police,10.9952707,76.9681824,Tamil Nadu,OpenStreetMap
803272013,District Police Office,police,10.9990022,76.9677805,Tamil Nadu,OpenStreetMap
818601073,Facility_818601073,hospital,10.6171687,77.9407588,Tamil Nadu,OpenStreetMap
832767566,"Ganga Medical Centre and Hospitals Pvt. Ltd ,Ramnagar",hospital,11.0158724,76.9594235,Tamil Nadu,OpenStreetMap
832768798,Krishna Nursing Home,hospital,11.0152327,76.9593766,Tamil Nadu,OpenStreetMap
832779637,"Kongunad Hospital, Coimbatore",hospital,11.018058,76.9604883,Tamil Nadu,OpenStreetMap
832779865,Sheela Clinic,hospital,11.01843,76.9604642,Tamil Nadu,OpenStreetMap
836113240,Christuraj Hospital,hospital,9.7117351,76.6813947,Tamil Nadu,OpenStreetMap
844462412,Indira Nagar Police Station,police,12.983019,77.6384106,Tamil Nadu,OpenStreetMap
928264962,Hebbal Fire Station,fire_station,13.0482487,77.6185279,Tamil Nadu,OpenStreetMap
934859086,Police Booth,police,13.0447322,80.1862162,Tamil Nadu,OpenStreetMap
940525605,Jeevan Bhima Nagar Police Station,police,12.9677712,77.6556937,Tamil Nadu,OpenStreetMap
941471945,Appasamy Hospital,hospital,13.0750445,80.2151198,Tamil Nadu,OpenStreetMap
941611681,Appasamy Hospital,hospital,13.073239,80.2148826,Tamil Nadu,OpenStreetMap
941621037,Appolo Clinic,hospital,13.0892073,80.2178866,Tamil Nadu,OpenStreetMap
942754044,Ganapathy FireStation,fire_station,11.0391993,76.9975014,Tamil Nadu,OpenStreetMap
951203526,Mico Layout Police Station,police,12.9086369,77.6105652,Tamil Nadu,OpenStreetMap
951833229,E6,police,13.2718063,80.2625092,Tamil Nadu,OpenStreetMap
953626886,Girinagar Police Station,police,12.935917,77.5439681,Tamil Nadu,OpenStreetMap
954623054,Sri Vinayaka Poly Clinic,hospital,12.939058,77.5510802,Tamil Nadu,OpenStreetMap
966556101,Chintadripet,police,13.0749088,80.2725042,Tamil Nadu,OpenStreetMap
966862788,Sanjayanagar Police station,police,13.0335598,77.5758979,Tamil Nadu,OpenStreetMap
966863252,RMV Hospital,hospital,13.0322788,77.576876,Tamil Nadu,OpenStreetMap
975680681,Yashomathi Hospitals,hospital,12.9559302,77.7112689,Tamil Nadu,OpenStreetMap
983957837,"Sankara Eye Hospital, Kanchipuram",hospital,12.965059,80.128212,Tamil Nadu,OpenStreetMap
983961147,S6 Shankar Nagar Police Station,police,12.9692797,80.1257959,Tamil Nadu,OpenStreetMap
984217571,Vadapalani Police station,police,13.049673,80.2117315,Tamil Nadu,OpenStreetMap
997575962,Little Lourdes Hospital Kidangoor,hospital,9.6834087,76.6117672,Tamil Nadu,OpenStreetMap
1005544881,Mallya Audikesh Diagnostics Center,hospital,12.9815051,77.6011944,Tamil Nadu,OpenStreetMap
1006462338,Mallige Medical Centre,hospital,12.985247,77.5803846,Tamil Nadu,OpenStreetMap
1015569835,Ramapuram Police Station,police,13.0317737,80.1790069,Tamil Nadu,OpenStreetMap
1015571498,Srm Speciality Hospital,hospital,13.0331325,80.1810857,Tamil Nadu,OpenStreetMap
1015571601,SRM Dental Hospital,hospital,13.0321291,80.1801201,Tamil Nadu,OpenStreetMap
1025332957,Facility_1025332957,police,10.046978,76.315901,Tamil Nadu,OpenStreetMap
1026208607,Holy Family Hospital Plassanal,hospital,9.7062998,76.7598364,Tamil Nadu,OpenStreetMap
1026508950,Seshadripuram Police Station,police,12.9881279,77.5744324,Tamil Nadu,OpenStreetMap
1026823949,"Sushrusha Hospital, Kozha Kuravlingad",hospital,9.761646,76.5677558,Tamil Nadu,OpenStreetMap
1039027096,"Shridevi Hospital, Tumakuru",hospital,13.3392288,77.1045572,Tamil Nadu,OpenStreetMap
1039493036,"Surya Hospital, Coimbatore",hospital,11.0390101,76.979517,Tamil Nadu,OpenStreetMap
1039707353,Facility_1039707353,substation,11.0140712,76.9871866,Tamil Nadu,OpenStreetMap
1051328308,Ukkadam Police Station(B2),police,10.9890037,76.9615341,Tamil Nadu,OpenStreetMap
1051328344,Womens Police Station,police,11.0155688,76.9683463,Tamil Nadu,OpenStreetMap
1051328350,Fair Pharma,hospital,10.8927566,76.9246984,Tamil Nadu,OpenStreetMap
1051328360,Kattor Police Station,police,11.0153033,76.968307,Tamil Nadu,OpenStreetMap
1051328368,Madukkarai Police Station,police,10.911453,76.9490401,Tamil Nadu,OpenStreetMap
1051328428,Vasan eye Care Hospital,hospital,10.9560967,76.9540004,Tamil Nadu,OpenStreetMap
1067181192,Devine Hospital,hospital,13.0038999,77.6039313,Tamil Nadu,OpenStreetMap
1085786951,Lalbagh Nursing Home,hospital,12.9452313,77.5861734,Tamil Nadu,OpenStreetMap
1093355153,Dr. Batra Clinic,hospital,12.9797287,77.7271089,Tamil Nadu,OpenStreetMap
1101622501,Government Maternity Hospital,hospital,12.9988604,77.5817424,Tamil Nadu,OpenStreetMap
1108014134,Soujanya Clinic,hospital,12.9681189,77.54325,Tamil Nadu,OpenStreetMap
1108040901,Kanva Diagnostics Collection Centre,hospital,12.967291,77.5429164,Tamil Nadu,OpenStreetMap
1118255762,Rajaji Nagar Police Station,police,12.9945063,77.554298,Tamil Nadu,OpenStreetMap
1127285905,Aakash Fertility Centre & Hospital,hospital,13.0554597,80.2118365,Tamil Nadu,OpenStreetMap
1129195836,Facility_1129195836,hospital,12.9445695,80.1210689,Tamil Nadu,OpenStreetMap
1148496061,Chavakachcheri Base Hospital,hospital,9.6616371,80.1669594,Tamil Nadu,OpenStreetMap
1150839598,New Akshay Mallya Hospital,hospital,12.9568527,77.6990468,Tamil Nadu,OpenStreetMap
1152858038,Rajan Eye Care Hospital,hospital,13.0508335,80.2434416,Tamil Nadu,OpenStreetMap
1153095745,Facility_1153095745,hospital,10.3285722,76.9558507,Tamil Nadu,OpenStreetMap
1153096222,Facility_1153096222,police,10.3289364,76.9574477,Tamil Nadu,OpenStreetMap
1181921781,Anuradhapura Police Station,police,8.3294913,80.4074417,Tamil Nadu,OpenStreetMap
1185699253,Avadi Hospital,hospital,13.1174941,80.1008132,Tamil Nadu,OpenStreetMap
1186119073,TIRUPPUR NORTH,police,11.107892,77.3450511,Tamil Nadu,OpenStreetMap
1186831410,Presidency Hospital,hospital,12.9951629,77.69923,Tamil Nadu,OpenStreetMap
1190881322,Naliyath Medical Chamber,hospital,9.9432462,76.3741513,Tamil Nadu,OpenStreetMap
1221006184,Bone & Joint Clinic,hospital,12.2655089,76.644961,Tamil Nadu,OpenStreetMap
1228960966,BGS Gleneagles Hospitals,hospital,12.90306,77.4974982,Tamil Nadu,OpenStreetMap
1237552693,"Police Station,Varkala",police,8.7342537,76.7261267,Tamil Nadu,OpenStreetMap
1238733084,Dr. Nathaji Nursing Home,hospital,12.8302996,79.7031901,Tamil Nadu,OpenStreetMap
1272424543,Srinivas Clinic,hospital,12.9073391,77.5830655,Tamil Nadu,OpenStreetMap
1290125198,Facility_1290125198,hospital,13.0043642,77.5652959,Tamil Nadu,OpenStreetMap
1299725537,Hebbal Police Station,police,13.0386192,77.5896244,Tamil Nadu,OpenStreetMap
1315141190,Police booth,police,12.9651635,80.2060352,Tamil Nadu,OpenStreetMap
1315895438,sree dhanalakshmi family clinic,hospital,13.0583046,80.211745,Tamil Nadu,OpenStreetMap
1318987638,Metro Hospital,hospital,12.8915893,77.560715,Tamil Nadu,OpenStreetMap
1365797756,Brookefield Hospital(A Unit Of Sanjeevani Hospital),hospital,12.9668213,77.7168891,Tamil Nadu,OpenStreetMap
1383996009,Facility_1383996009,shelter,12.9699185,77.6029655,Tamil Nadu,OpenStreetMap
1391252125,Facility_1391252125,police,13.1244932,80.2771688,Tamil Nadu,OpenStreetMap
1397071045,Indira Gandhi Medical College and Research Institute,hospital,11.9404008,79.7962236,Tamil Nadu,OpenStreetMap
1415471983,Lotus Hospital,hospital,11.3266236,77.7306301,Tamil Nadu,OpenStreetMap
1423854834,Karamadai Police Station,police,11.2395224,76.9595897,Tamil Nadu,OpenStreetMap
1423948022,PSG Hospitals,hospital,11.0188398,77.0073136,Tamil Nadu,OpenStreetMap
1425221969,K T V R Group Hospital,hospital,11.026167,76.9499384,Tamil Nadu,OpenStreetMap
1428600902,Tenet diagnostics,hospital,12.9573067,77.7087044,Tamil Nadu,OpenStreetMap
1436177631,ESI Hospital,hospital,12.995242,77.6523255,Tamil Nadu,OpenStreetMap
1437213383,Karunalayam Hospital,hospital,12.9111263,77.7073377,Tamil Nadu,OpenStreetMap
1438212033,SDS Tuberculosis Research Centre and Rajiv Gandhi Institute of Chest diseases,hospital,12.9367955,77.5907094,Tamil Nadu,OpenStreetMap
1440343668,Maiya Multispecialty Hospital,hospital,12.942614,77.5854533,Tamil Nadu,OpenStreetMap
1446415367,Bhadra Homeo,hospital,12.9663879,80.2474724,Tamil Nadu,OpenStreetMap
1451946829,Porur Police Station,police,13.0343074,80.1601292,Tamil Nadu,OpenStreetMap
1454651986,Narayana Netralaya,hospital,12.9671401,77.6094485,Tamil Nadu,OpenStreetMap
1462686365,Vyali Kaval Police Station,police,13.0015732,77.578628,Tamil Nadu,OpenStreetMap
1463452754,Nagappa Hadli Hospital,hospital,13.0829889,77.5489026,Tamil Nadu,OpenStreetMap
1463507632,"Vasan Eye Care Hospital, Nagarabhavi",hospital,12.9746134,77.5129757,Tamil Nadu,OpenStreetMap
1463555571,Rc Hospital,hospital,12.930936,77.5153776,Tamil Nadu,OpenStreetMap
1463563608,Veturi Child Health Centre,hospital,12.9263226,77.5156579,Tamil Nadu,OpenStreetMap
1463656830,Ketham's Hospital Pvt. Ltd,hospital,13.0686568,77.5582571,Tamil Nadu,OpenStreetMap
1464278789,Coimbatore Bone and Joint Foundation (P) Ltd.,hospital,11.0149404,76.9543844,Tamil Nadu,OpenStreetMap
1464742684,Ragavendra Hospital,hospital,13.0425433,77.5155377,Tamil Nadu,OpenStreetMap
1464772262,Guru Kripa Clinic,hospital,13.0349833,77.5676844,Tamil Nadu,OpenStreetMap
1464782617,Deeksha Orthopaedic Hospital,hospital,13.0973922,77.5964894,Tamil Nadu,OpenStreetMap
1464783198,Shushrusha Hospital,hospital,13.0997316,77.5980216,Tamil Nadu,OpenStreetMap
1464829643,Deiva Hospital,hospital,10.7746145,79.1231818,Tamil Nadu,OpenStreetMap
1464921265,Chirag Hospital and Maternity Center,hospital,12.9126298,77.5913594,Tamil Nadu,OpenStreetMap
1465640657,Tiptur Rural Police station,police,13.2608896,76.4609816,Tamil Nadu,OpenStreetMap
1465647252,Fire Station,fire_station,13.2588958,76.4650062,Tamil Nadu,OpenStreetMap
1465969147,Facility_1465969147,shelter,10.8445439,76.0335474,Tamil Nadu,OpenStreetMap
1466477036,Udhbhava Hospital,hospital,12.9256842,77.5489346,Tamil Nadu,OpenStreetMap
1466576385,DG Hospital,hospital,12.9206648,77.5598673,Tamil Nadu,OpenStreetMap
1466638204,Srinivasa Nursing Home,hospital,12.9423039,77.6174893,Tamil Nadu,OpenStreetMap
1466742313,Government Hospital,hospital,12.680279,77.4693911,Tamil Nadu,OpenStreetMap
1466742314,Harohalli Police station,police,12.6804936,77.4693429,Tamil Nadu,OpenStreetMap
1466917439,"Womens Medical Centre, Coimbatore",hospital,11.0337824,76.9517175,Tamil Nadu,OpenStreetMap
1467778591,Kangila Clinic,hospital,12.9336501,77.5660602,Tamil Nadu,OpenStreetMap
1467928839,Masonic Medical Centre For Children,hospital,10.9997961,76.9799441,Tamil Nadu,OpenStreetMap
1467969798,Chaitanya Hospital,hospital,13.0990911,77.5861904,Tamil Nadu,OpenStreetMap
1468079158,Somu medicals,hospital,11.0264568,76.9448591,Tamil Nadu,OpenStreetMap
1468079184,Akila Medicals,hospital,11.0265516,76.9443924,Tamil Nadu,OpenStreetMap
1468079553,Dr.U.S.Prakash's Clinic,hospital,11.0256249,76.9372845,Tamil Nadu,OpenStreetMap
1468540733,"Vasan Eye Care Hospital, Koramangala",hospital,12.9402371,77.6253403,Tamil Nadu,OpenStreetMap
1468908300,health nest,hospital,12.9075992,77.6488507,Tamil Nadu,OpenStreetMap
1469035492,Amma's ENT Clinic,hospital,13.0281613,77.5793947,Tamil Nadu,OpenStreetMap
1469036754,Krishna Specialty Clinic,hospital,13.026721,77.5789272,Tamil Nadu,OpenStreetMap
1469101395,KG Eye Hospital,hospital,11.0825506,76.997422,Tamil Nadu,OpenStreetMap
1469149130,"Shree Siva Hospital, Ganapathy,",hospital,11.0441103,76.9856071,Tamil Nadu,OpenStreetMap
1469181813,Seventh Day Adventist Hospital,hospital,12.995625,77.6113272,Tamil Nadu,OpenStreetMap
1469314053,Srinivasa Nursing Home,hospital,12.9965077,77.6220456,Tamil Nadu,OpenStreetMap
1470432055,"C2- Race Course Police Station, Coimbatore",police,11.001692,76.9713177,Tamil Nadu,OpenStreetMap
1470603498,Kids Care Clinic,hospital,12.914434,77.6050207,Tamil Nadu,OpenStreetMap
